Datetime,Open,High,Low,Close,Volume,openinterest
2017-9-1 8:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,
2017-9-2 8:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,
2017-9-3 8:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,
2017-9-4 8:00:00,4505,4527.49,3972.51,4100.11,1394.644614,
2017-9-5 8:00:00,4106.97,4484.99,3603,4366.47,1228.938157,
2017-9-6 8:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,
2017-9-7 8:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,
2017-9-8 8:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,
2017-9-9 8:00:00,4282.8,4426.62,4150.06,4258.81,658.782952,
2017-9-10 8:00:00,4258.81,4283,3801,4130.37,660.373275,
2017-9-11 8:00:00,4153.62,4334.43,4098.91,4208.47,699.989065,
2017-9-12 8:00:00,4208.6,4394.59,4040.8,4163.72,879.630319,
2017-9-13 8:00:00,4159.72,4165.38,3760,3944.69,913.462545,
2017-9-14 8:00:00,3944,3993,3165.13,3189.02,1665.021543,
2017-9-15 8:00:00,3188.01,3856,2817,3700,1968.866492,
2017-9-16 8:00:00,3674.01,3950,3470.66,3714.95,1297.563953,
2017-9-17 8:00:00,3685.23,3748.21,3499.02,3699.99,682.17121,
2017-9-18 8:00:00,3690,4123.2,3690,4035.01,1030.006455,
2017-9-19 8:00:00,4060,4089.97,3830.91,3910.04,902.332129,
2017-9-20 8:00:00,3910.04,4046.08,3820,3900,720.935076,
2017-9-21 8:00:00,3889.99,3910,3567,3609.99,1001.654084,
2017-9-22 8:00:00,3592.84,3750,3505.55,3595.87,838.966425,
2017-9-23 8:00:00,3595.88,3817.19,3542.91,3780,752.792791,
2017-9-24 8:00:00,3779.54,3789.99,3622.76,3660.02,661.63639,
2017-9-25 8:00:00,3660.02,3979.87,3653.69,3920.75,727.994713,
2017-9-26 8:00:00,3928,3976.99,3850.05,3882.35,526.727987,
2017-9-27 8:00:00,3882.36,4249.94,3872.81,4193,628.170966,
2017-9-28 8:00:00,4192.11,4300,4101,4174.5,849.785325,
2017-9-29 8:00:00,4178.98,4263.86,3952.01,4174.69,1602.309565,
2017-9-30 8:00:00,4175,4380,4138.1,4378.51,720.353183,
2017-10-1 8:00:00,4378.49,4406.52,4240.04,4378.48,726.963685,
2017-10-2 8:00:00,4400,4561.63,4360,4380,655.756974,
2017-10-3 8:00:00,4380,4467.33,4180.8,4310,1082.323563,
2017-10-4 8:00:00,4314.9,4373,4142,4208.59,868.465101,
2017-10-5 8:00:00,4208.59,4355,4110,4292.43,779.138638,
2017-10-6 8:00:00,4318.99,4417,4292,4369,506.529176,
2017-10-7 8:00:00,4369,4479.5,4312.56,4423,297.5975,
2017-10-8 8:00:00,4425,4658,4425,4640,518.462004,
2017-10-9 8:00:00,4640,4889.98,4550,4786.95,646.463145,
2017-10-10 8:00:00,4786.95,4960,4680.59,4783.06,1043.221773,
2017-10-11 8:00:00,4783.06,4881.61,4710,4821.43,753.429396,
2017-10-12 8:00:00,4821.43,5439.99,4810.16,5430,1276.701482,
2017-10-13 8:00:00,5439.99,5846.17,5379.84,5649.98,1879.82762,
2017-10-14 8:00:00,5650,5900,5580.01,5869.99,970.759046,
2017-10-15 8:00:00,5855.03,5922.3,5400.01,5709.99,1343.523375,
2017-10-16 8:00:00,5710,5788.91,5585.19,5760.02,1528.996462,
2017-10-17 8:00:00,5760,5774.98,5508.63,5595,1429.869376,
2017-10-18 8:00:00,5595,5596,5037.95,5512.06,2317.804373,
2017-10-19 8:00:00,5513,5710,5490.26,5683.9,1881.722107,
2017-10-20 8:00:00,5683.31,6110,5600,6010.01,1972.97722,
2017-10-21 8:00:00,6013.72,6171,5850.03,6024.97,1664.307693,
2017-10-22 8:00:00,6003.27,6060,5720.03,5950.02,1362.092216,
2017-10-23 8:00:00,5975,6080,5621.03,5915.93,1812.557715,
2017-10-24 8:00:00,5909.47,5925,5450,5477.03,2580.418767,
2017-10-25 8:00:00,5506.92,5704.96,5286.98,5689.99,2282.813205,
2017-10-26 8:00:00,5670.1,5939.99,5650,5861.77,1972.965882,
2017-10-27 8:00:00,5861.77,5980,5649.24,5768.83,1403.706416,
2017-10-28 8:00:00,5768.79,5850.02,5630.03,5719.64,1276.754412,
2017-10-29 8:00:00,5709.98,6189.88,5648.01,6169.98,1804.778173,
2017-10-30 8:00:00,6133.01,6248.68,6030,6120.5,1473.687043,
2017-10-31 8:00:00,6120.52,6498.01,6100,6463,1511.774925,
2017-11-1 8:00:00,6463,6774.67,6338.02,6753.98,1675.615188,
2017-11-2 8:00:00,6753.98,7300,6685.1,7019.98,2503.610803,
2017-11-3 8:00:00,7010.31,7346.34,6923,7115.04,1891.497592,
2017-11-4 8:00:00,7115.02,7480.99,6901,7357.09,1399.191767,
2017-11-5 8:00:00,7357.27,7590.25,7279.02,7345.01,1207.83233,
2017-11-6 8:00:00,7345.1,7401,6906,6960.12,1763.019261,
2017-11-7 8:00:00,6981.72,7198.49,6901,7064.04,1440.259494,
2017-11-8 8:00:00,7070,7770.02,6651,7303,2822.298802,
2017-11-9 8:00:00,7303.01,7392,7015,7079.99,1913.398308,
2017-11-10 8:00:00,7079,7279.91,6255.01,6506.98,3254.704105,
2017-11-11 8:00:00,6503,6797.98,6100,6245.05,2754.156861,
2017-11-12 8:00:00,6245.05,6630,5325.01,5811.03,4968.483069,
2017-11-13 8:00:00,5839.94,6697.47,5699.99,6465.99,2621.243039,
2017-11-14 8:00:00,6465.99,6684.98,6311.07,6574.99,1254.292531,
2017-11-15 8:00:00,6575.99,7298,6575.99,7240.06,1779.605845,
2017-11-16 8:00:00,7240.14,7940,7076,7864.5,2331.95675,
2017-11-17 8:00:00,7876.98,7989,7451,7699.19,3982.395925,
2017-11-18 8:00:00,7680.01,7819.99,7422,7761.94,3954.266477,
